SARIF File,Driver Name,Total Results,ruleId,message,path,startLine,endLine,startColumn,endColumn,isCorrect
codeql-result.sarif,CodeQL,4,cs/command-line-injection,This command line depends on a [user-provided value](1).,Controllers/UtilityController.cs,13,,36,53,1
codeql-result.sarif,CodeQL,4,cs/sql-injection,This query depends on [this ASP.NET Core MVC action method parameter](1).,Controllers/UserController.cs,13,,34,86,1
codeql-result.sarif,CodeQL,4,cs/unsafe-deserialization-untrusted-input,[User-provided data](1) flows to unsafe deserializer.,Controllers/DeserializeController.cs,15,,45,47,1
codeql-result.sarif,CodeQL,4,cs/insecure-sql-connection,[Connection string](1) flows to this SQL connection and does not specify `Encrypt=True`.,Controllers/UserController.cs,11,,38,109,0
llms-result.sarif,openai/gpt-4.1,9,HARD_CODED_CREDENTIAL,Hardcoded password 'admin123' detected in source code. Hardcoded credentials can be easily compromised.,Controllers\AuthController.cs,8,8,27,38,1
llms-result.sarif,openai/gpt-4.1,9,WEAK_CRYPTOGRAPHY,MD5 is used for token generation. MD5 is insecure and vulnerable to collision attacks.,Controllers\AuthController.cs,17,21,9,30,1
llms-result.sarif,openai/gpt-4.1,9,HARDCODED_KEY,Hardcoded key 'mysecretkey' used for token generation. Keys should be managed securely.,Controllers\AuthController.cs,14,14,19,32,1
llms-result.sarif,openai/gpt-4.1,9,XSS_REFLECTION,"User-supplied comment is reflected into HTML response without encoding, leading to possible XSS.",Controllers\CommentController.cs,9,11,16,77,1
llms-result.sarif,openai/gpt-4.1,9,INSECURE_DESERIALIZATION,Use of BinaryFormatter to deserialize untrusted input. This can lead to arbitrary code execution.,Controllers\DeserializeController.cs,11,16,9,43,1
llms-result.sarif,openai/gpt-4.1,9,SQL_INJECTION,"The SQL command concatenates user input directly into the query, making it vulnerable to SQL injection.",Controllers\UserController.cs,11,14,20,81,1
llms-result.sarif,openai/gpt-4.1,9,COMMAND_INJECTION,"User-supplied 'host' is concatenated into command line, risking command injection.",Controllers\UtilityController.cs,10,20,9,21,1
llms-result.sarif,openai/gpt-4.1,9,DEFAULT_SWAGGER_ENABLED,"Swagger UI is enabled without authentication, potentially exposing API documentation and endpoints.",Program.cs,10,13,1,24,0
llms-result.sarif,openai/gpt-4.1,9,VULNERABLE_DEPENDENCY,System.Data.SqlClient version 4.9.0 may be outdated. Ensure dependencies are updated to latest secure versions.,S09.csproj,13,13,5,71,1
llms-result.sarif,deepseek/DeepSeek-V3-0324,7,SEC001,Hardcoded password 'admin123' found in authentication logic,Controllers\AuthController.cs,8,8,5,40,1
llms-result.sarif,deepseek/DeepSeek-V3-0324,7,SEC002,Using MD5 for token generation with hardcoded key 'mysecretkey',Controllers\AuthController.cs,18,18,17,33,1
