SARIF File,Driver Name,Total Results,ruleId,message,path,startLine,endLine,startColumn,endColumn,isCorrect
llms-result.sarif,openai/gpt-4.1,3,PLAIN_PASSWORD_STORAGE,User passwords are stored as plain text in memory without any hashing or encryption. This exposes users to risk if the application memory is exposed or accidentally dumped. Always hash and salt passwords before storing them.,Services/UserAccountService.cs,6,21,1,1,1
llms-result.sarif,openai/gpt-4.1,3,INSECURE_PASSWORD_COMPARISON,The authentication process compares plain text passwords directly. This is insecure and allows successful login if a user's password is leaked. Always store and compare hashed (with salt) passwords.,Services/UserAccountService.cs,16,19,5,6,1
llms-result.sarif,openai/gpt-4.1,3,MISSING_AUTHORIZATION_PROTECTION,"LockerController and UserController do not enforce authentication or authorization on sensitive endpoints, making it possible for unauthorized users to access or modify critical resources.",Controllers/LockerController.cs,8,39,1,1,0
llms-result.sarif,deepseek/DeepSeek-V3-0324,5,SEC-001,"Passwords are stored in plaintext in the UserAccountService, which is insecure password storage practice.",Services/UserAccountService.cs,1,15,1,1,1
llms-result.sarif,deepseek/DeepSeek-V3-0324,5,SEC-002,"The Login method compares plaintext passwords, indicating no password hashing is implemented.",Services/UserAccountService.cs,12,15,1,1,1
llms-result.sarif,deepseek/DeepSeek-V3-0324,5,SEC-003,"The login endpoint has no rate limiting, making it vulnerable to brute force attacks.",Controllers/UserController.cs,19,26,1,1,1
llms-result.sarif,deepseek/DeepSeek-V3-0324,5,SEC-004,The application doesn't implement CSRF protection for state-changing operations like package assignment.,Controllers/LockerController.cs,1,25,1,1,0
llms-result.sarif,deepseek/DeepSeek-V3-0324,5,SEC-005,"User inputs (like locker IDs) are not sanitized before use, potentially leading to injection attacks.",Controllers/LockerController.cs,12,15,1,1,0
llms-result.sarif,mistral-ai/Mistral-Large-2411,2,INSECURE_STORAGE,Passwords are stored in plaintext in a ConcurrentDictionary.,Services/UserAccountService.cs,9,9,5,5,1
llms-result.sarif,mistral-ai/Mistral-Large-2411,2,HARDCODED_CREDENTIALS,Hardcoded locker information including its ID and location.,Services/LockerService.cs,8,8,13,13,1
snyk-result.sarif,SnykCode,3,csharp/AntiforgeryTokenDisabled,This ASP.NET MVC action should use an anti-forgery validation attribute. Not using this attribute disables Cross Site Request Forgery (CSRF) protection and allows CSRF attacks.,Controllers/LockerController.cs,23,23,26,39,0
snyk-result.sarif,SnykCode,3,csharp/AntiforgeryTokenDisabled,This ASP.NET MVC action should use an anti-forgery validation attribute. Not using this attribute disables Cross Site Request Forgery (CSRF) protection and allows CSRF attacks.,Controllers/UserController.cs,15,15,26,34,0
snyk-result.sarif,SnykCode,3,csharp/AntiforgeryTokenDisabled,This ASP.NET MVC action should use an anti-forgery validation attribute. Not using this attribute disables Cross Site Request Forgery (CSRF) protection and allows CSRF attacks.,Controllers/UserController.cs,25,25,26,31,0
